"CPF","segmento_do_cliente.x","Idade","Rentabilidade","previdência","cartao_de_credito","cheque_especial","credito_pessoal","cdb","credito_consignado","respostas_de_nps","data_da_resposta","Renda","verbatim"
13712691679,"Classic",33,202.9,1,1,1,0,1,1,0,2023-05-29,1373,"0"
54767038679,"Exclusive",40,562.77,0,0,0,0,3,1,0,2024-04-10,8206,"0"
48197232504,"Prime",32,547.16,2,2,3,0,3,2,9,2024-10-05,10463,"0"
80158964621,"Classic",24,171.86,0,0,1,0,1,3,3,2023-03-11,6745,"Tive problemas com o suporte."
32341340407,"Exclusive",34,400.4,0,2,2,0,1,1,2,2023-01-08,9917,"O aplicativo é lento e confuso."
72142833802,"Prime",45,592.86,2,3,1,0,2,1,9,2024-12-01,14044,"0"
14051681717,"Exclusive",39,458.8,0,3,1,0,2,1,7,2024-08-11,9472,"0"
91480741698,"Prime",37,738.2,4,3,3,0,3,1,1,2024-07-13,12644,"0"
38234679056,"Prime",30,678.81,2,2,3,1,2,2,10,2024-07-18,10534,"O aplicativo é rápido e fácil de usar."
94728175160,"Prime",37,632,4,3,3,1,3,2,1,2024-05-14,15337,"0"
72240216136,"Exclusive",27,430.43,2,3,2,1,3,0,4,2023-10-01,8979,"A experiência no banco não foi boa."
76790548478,"Exclusive",29,390.46,1,1,0,0,3,1,0,2024-04-04,9947,"0"
48069923686,"Classic",26,115.23,0,0,1,0,1,0,5,2024-03-07,7534,"0"
58752907659,"Prime",55,512.95,2,2,1,1,3,3,10,2024-06-03,18760,"0"
38870380858,"Prime",44,619.2,4,3,1,0,3,3,9,2024-03-15,17063,"Muito satisfeito com o banco."
91074306638,"Exclusive",32,554.88,3,1,0,1,1,2,7,2023-04-14,9580,"0"
52800476335,"Exclusive",28,365.63,3,3,1,1,2,1,8,2023-10-13,9340,"Adoro as funcionalidades do app!"
43684918252,"Prime",52,719.14,2,1,3,1,3,1,4,2023-11-29,16741,"O aplicativo é lento e confuso."
39736668287,"Classic",18,224.46,0,2,1,1,1,1,9,2024-09-08,4107,"Adoro as funcionalidades do app!"
85337188122,"Classic",24,367.22,0,2,0,1,1,1,5,2023-09-08,5318,"O app trava constantemente."
22223074370,"Exclusive",33,450.59,3,2,0,1,3,1,8,2024-04-15,9844,"0"
12659135232,"Classic",44,105.36,0,2,0,0,1,1,3,2024-10-12,3153,"0"
93588809411,"Exclusive",41,417.57,3,1,0,1,3,1,4,2023-03-25,9608,"0"
59024088045,"Classic",34,223.72,0,1,1,1,0,0,0,2024-11-19,1153,"O atendimento precisa melhorar."
51139832322,"Classic",23,308.46,0,1,1,1,1,1,3,2023-11-12,3241,"0"
26455766363,"Exclusive",36,595.29,3,2,1,1,1,1,3,2023-08-12,8620,"0"
52874719166,"Prime",30,613.64,2,3,1,0,2,2,10,2023-01-27,11218,"0"
51140015469,"Classic",34,160.62,0,1,0,1,1,0,1,2024-08-27,2754,"0"
27512392816,"Classic",25,229.8,0,1,1,0,0,0,10,2023-07-06,1986,"0"
57384557327,"Classic",27,360.77,1,2,0,0,0,1,9,2024-11-20,7712,"0"
87372540246,"Prime",35,680.63,3,3,1,0,2,2,0,2024-07-29,12053,"0"
65869943244,"Classic",40,275.57,0,1,1,0,1,0,3,2024-08-24,4722,"0"
41592474894,"Prime",48,616,4,3,1,0,2,1,1,2023-04-30,15355,"O aplicativo é lento e confuso."
13154328412,"Classic",38,324.71,0,2,1,0,1,3,2,2023-01-15,7881,"0"
82965704261,"Prime",40,746.72,4,3,1,0,2,2,9,2024-05-21,16680,"Ótimo atendimento, adorei o app."
74095137663,"Prime",37,676.53,2,1,1,0,2,2,9,2023-04-25,14703,"0"
58853733136,"Prime",43,623.94,2,3,2,0,3,3,9,2024-10-13,12412,"0"
72442154076,"Prime",51,644.67,4,3,3,1,3,3,6,2023-07-06,11983,"0"
67138177461,"Exclusive",27,342.32,3,2,0,0,3,2,6,2023-01-25,8809,"0"
36840184786,"Classic",36,109.11,1,1,1,1,0,1,3,2024-07-04,1126,"O atendimento precisa melhorar."
74869098995,"Prime",36,554.73,3,1,1,1,2,2,5,2024-12-22,11598,"0"
60525073060,"Classic",20,160.9,0,2,1,1,1,0,10,2024-10-04,7088,"0"
79901384790,"Exclusive",27,535.45,1,3,0,1,1,0,0,2024-07-28,9141,"0"
70082348273,"Classic",23,273.58,0,2,1,1,1,0,3,2023-03-19,1048,"0"
62176685101,"Exclusive",30,594.77,3,0,0,1,3,1,1,2023-07-06,9802,"O app trava constantemente."
94038098613,"Prime",44,703.86,4,3,1,1,3,3,3,2023-10-13,11940,"0"
72916599311,"Prime",49,696.26,4,1,1,0,3,1,6,2024-11-01,14018,"Tive problemas com o suporte."
36632250890,"Classic",35,354.65,0,1,1,1,1,0,7,2023-11-08,2273,"0"
55043039876,"Classic",20,308.38,0,1,0,1,1,3,1,2024-12-03,5209,"0"
89723104530,"Classic",35,251.42,1,1,1,1,1,3,9,2023-07-31,2525,"0"
56906266479,"Prime",42,650.25,4,1,1,0,3,1,6,2024-06-18,14527,"0"
68113060013,"Exclusive",40,464.11,1,1,0,0,3,1,2,2023-10-21,9279,"0"
14097398480,"Prime",52,581.26,4,4,1,0,3,3,3,2023-03-31,11708,"0"
66482164476,"Classic",25,363.02,0,1,1,0,1,0,10,2023-01-10,7813,"O aplicativo é rápido e fácil de usar."
22161103488,"Exclusive",45,515.69,2,3,1,1,1,1,4,2024-08-10,9487,"0"
12015482193,"Classic",40,225.29,0,1,1,1,1,1,1,2024-01-03,7691,"0"
77202744375,"Classic",39,108.39,0,1,1,0,0,3,7,2023-07-21,3568,"0"
95090723555,"Classic",37,235.96,0,1,1,1,0,1,3,2024-05-25,4430,"O app trava constantemente."
73636122014,"Exclusive",30,446.21,1,1,0,0,3,1,7,2023-07-28,9871,"0"
76709777300,"Prime",40,509.06,3,2,3,0,3,3,4,2023-03-03,12110,"0"
